INSTITUTION,2008/2009,2009/2010,2010/2011,2011/2012,2012/2013,2013/2014
British Museum,5472056,5650388,5869396,5841658,5592814,6758935
Geffrye Museum,86499,93365,104691,104889,105486,113123
Horniman Museum,483113,621301,584974,509079,616075,698051
Imperial War Museums,2006765,2079264,2317639,2249592,1990343,1876000
Museum of Science and Industry in Manchester,745188,568993,638347,0,0,0
National Gallery,4438900,4695900,5084929,5358509,5376000,5900000
National Museums Liverpool,2689889,2273612,2635993,3184995,3277303,2710184
National Portrait Gallery,1833684,1984500,1758488,2048168,2054327,1988449
Natural History Museum,3843310,4388944,4812197,4991692,5288349,5578580
Royal Armouries,448622,466987,462753,1852365,1810783,1941533
Royal Museums Greenwich,2089104,2395493,2450155,1872258,1943054,2488801
Science Museum Group,4206858,4308258,4093463,5170506,5149000,5712000
Sir John Soane's Museum,96447,107447,109604,107903,106130,121241
Tate Gallery Group,7475000,7125000,7450000,7066000,7746953,7036000
Tyne and Wear Museums,1526279,2286737,2018233,1800418,1756187,1746518
Victoria and Albert Museum,2490700,2746000,3049000,3335200,3734300,3646900
Wallace Collection,359165,382773,357538,399913,377756,415469
