Resource.Type,Expense.Type,Department,Broad.Activity,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
DEL,Departmental expenditure,Support for the Museums and Galleries sector ,"Arts, Heritage, Libraries",12619,4230,4170,3831,13336,12664,16267,17478,17367
DEL,Departmental expenditure,Museums and Galleries sponsored ALBs (net) ,"Arts, Heritage, Libraries",334044,278988,357425,361853,306816,359754,354959,412336,388803
DEL,Departmental expenditure,Libraries sponsored ALBs (net) ,"Arts, Heritage, Libraries",99452,104277,103587,106243,113172,110753,101374,112196,109378
DEL,Departmental expenditure,"Museums, libraries and archives council (net) ","Arts, Heritage, Libraries",NA,59804,61838,58376,64474,43741,8632,NA,NA
DEL,Departmental expenditure,Support for the Arts sector ,"Arts, Heritage, Libraries",3088,-1273,-3821,-1737,2373,-53218,-67219,-61175,421
DEL,Departmental expenditure,Arts and culture ALBs (net) ,"Arts, Heritage, Libraries",402293,413791,420612,420204,380835,446545,442838,434221,358336
DEL,Departmental expenditure,Support for the Sports sector ,"Leisure, Tourism, Sport & Olympic Games",8525,2203,8801,1098,5394,6847,21147,16874,14374
DEL,Departmental expenditure,Sport sponsored ALBs (net) ,"Leisure, Tourism, Sport & Olympic Games",141744,161154,151945,148362,136077,144942,114967,120269,108121
DEL,Departmental expenditure,Ceremonial and support for the Heritage sector ,"Arts, Heritage, Libraries",19064,20633,18555,22200,13946,22161,16690,30607,29281
DEL,Departmental expenditure,Heritage sponsored ALBs (net) ,"Arts, Heritage, Libraries",141608,151149,151825,144270,130737,97567,92975,97311,84024
DEL,Departmental expenditure,The Royal Parks ,"Leisure, Tourism, Sport & Olympic Games",18999,20092,18487,15759,17162,16955,13637,14767,13730
DEL,Departmental expenditure,Support for the Tourism sector ,"Leisure, Tourism, Sport & Olympic Games",1985,2230,127,2362,16,70,10,NA,NA
DEL,Departmental expenditure,Tourism sponsored ALBs (net) ,"Leisure, Tourism, Sport & Olympic Games",53848,52985,50450,39479,45494,47824,48200,27591,28006
DEL,Departmental expenditure,Support for the Broadcasting and Media sector ,"Media, Broadband, Telecommunication",4417,2722,2624,1561,3218,15161,12063,10190,13946
DEL,Departmental expenditure,Broadcasting and Media sponsored ALBs (net) ,"Media, Broadband, Telecommunication",118109,129542,136260,138139,170893,183597,93543,91042,95979
DEL,Departmental expenditure,Administration and Research ,Administration & staff expenditure ,53309,56476,56448,53406,58429,51679,34863,37630,39949
DEL,Departmental expenditure,Support for Horseracing and the Gambling sector ,"National Lottery, Gambling, E_Licensing",-11518,-5121,-3732,-4020,2700,-1560,-1603,-2817,NA
DEL,Departmental expenditure,Gambling Commission(net) ,"National Lottery, Gambling, E_Licensing",16610,7927,5801,4107,4722,1959,3097,3765,1234
DEL,Departmental expenditure,Olympics - legacy programmes ,"Leisure, Tourism, Sport & Olympic Games",459,-67,524,13022,65868,501628,-18083,178,NA
DEL,Departmental expenditure,London 2012(net) ,"Leisure, Tourism, Sport & Olympic Games",24130,-2703,-35363,-18700,45399,1575240,-29477,100,NA
DEL,Departmental expenditure,Government Equalities Office ,"Human Rights, Equality",5969,10333,13998,11611,7080,15283,7298,18900,11000
