Year,Month,All Visits,All Visits (Seasonally Adjusted),North America,Europe (EU),Europe (outside EU),Other Countries
2012,Jan,2245593,2660000,192212,1552412,152069,348899
2012,Feb,1736129,2470000,153756,1240871,128569,212933
2012,Mar,2267431,2660000,242552,1584353,155840,284686
2012,Apr,2916705,2810000,268700,2077870,248197,321937
2012,May,2969854,2650000,391059,1963680,224160,390954
2012,Jun,2570469,2360000,426761,1495505,172272,475931
2012,Jul,3158139,2520000,421852,1896098,216215,623974
2012,Aug,3016207,2400000,367844,1941225,205605,501533
2012,Sep,2611542,2530000,378091,1565988,139843,527621
2012,Oct,2689887,2550000,285260,1815271,176923,412433
2012,Nov,2475588,2730000,202450,1752265,231570,289303
2012,Dec,2426541,2790000,213296,1667100,192296,353849
2013,Jan,2200239,2630000,212156,1438835,150272,398976
2013,Feb,1951431,2710000,150428,1429852,143603,227548
2013,Mar,2181231,2520000,208604,1541262,154570,276794
2013,Apr,2888106,2820000,241007,2063077,237127,346895
2013,May,3084395,2760000,358838,2107749,192944,424864
2013,Jun,2896526,2670000,408985,1765981,171833,549728
2013,Jul,3303791,2650000,444383,1930597,234791,694020
2013,Aug,3535203,2850000,431151,2249041,206504,648508
2013,Sep,2806427,2730000,357757,1684892,202790,560988
2013,Oct,2980368,2830000,303224,1984204,203779,489161
2013,Nov,2443389,2710000,196685,1724891,207264,314550
2013,Dec,2420243,2800000,195091,1674906,164957,385289
2014,Jan,2358664,2790000,211706,1596160,142862,407936
2014,Feb,2099139,2870000,131872,1555067,164574,247625
2014,Mar,2351710,2780000,217492,1673104,178846,282269
2014,Apr,2951504,2800000,293210,2109521,216686,332086
2014,May,3273602,2930000,398724,2161006,237998,475874
2014,Jun,3263854,3050000,410099,2077410,230578,545767
2014,Jul,3469693,2830000,424572,2124672,225640,694809
2014,Aug,3575658,2880000,408799,2248819,224736,693305
2014,Sep,2983684,2900000,413262,1781477,194995,593951
2014,Oct,3008251,2850000,326283,2045981,208588,427398
2014,Nov,2624557,2860000,192276,1924498,231300,276483
2014,Dec,2416698,2790000,196523,1711555,175941,332680
2015,Jan,2390000,2810000,200000,1610000,160000,420000
2015,Feb,2080000,2860000,150000,1510000,150000,260000
2015,Mar,2400000,2820000,210000,1780000,150000,270000
2015,Apr,3140000,3000000,250000,2360000,190000,340000
